model_no,type,speed,kit_size,size_per_stick,first_word_latency,cas_latency,color
62071,,3200,2,4,13.75,22,Black / Gold
62072,,2133,1,16,14.065,15,Red / Black
62073,,2133,1,8,14.065,15,Red / Black
62074,,2133,1,4,14.065,15,Red / Black
62075,,2400,1,32,13.333,16,Red / Black
62076,,2400,1,4,13.333,16,Red / Black
62077,,2666,1,32,14.254,19,Red / Black
62078,,2666,1,16,14.254,19,Red / Black
62079,,2666,1,8,14.254,19,Red / Black
62080,,2666,1,8,14.254,19,Red / Black
62081,,2666,1,4,14.254,19,Red / Black
62082,,3200,1,32,13.75,22,Red / Black
62083,,3200,1,8,13.75,22,Red / Black
62084,,3200,1,8,13.75,22,Red / Black
62085,,3200,1,4,13.75,22,Red / Black
62086,,2400,1,32,13.333,16,Red / Black
62087,,2400,1,16,13.333,16,Red / Black
62088,,2400,1,8,13.333,16,Red / Black
62089,,2400,1,4,13.333,16,Red / Black
62090,,2666,1,32,14.254,19,Red / Black
62091,,2666,1,16,14.254,19,Red / Black
62092,,2666,1,8,14.254,19,Red / Black
62093,,2666,1,8,14.254,19,Red / Black
62094,,2666,1,4,14.254,19,Red / Black
62095,,3200,1,4,13.75,22,Red / Black
62096,,2133,4,8,14.065,15,Red / Black
62097,,2133,4,4,14.065,15,Red / Black
62098,,2133,2,4,14.065,15,Red / Black
62099,,2400,4,8,13.333,16,Red / Black
62100,,2400,4,4,13.333,16,Red / Black
62101,,2400,2,32,13.333,16,Red / Black
62102,,2400,2,16,13.333,16,Red / Black
62103,,2666,2,4,14.254,19,Red / Black
62104,,2666,2,8,14.254,19,Red / Black
62105,,2666,2,16,14.254,19,Red / Black
62106,,2666,2,32,14.254,19,Red / Black
62107,,2666,4,4,14.254,19,Red / Black
62108,,2666,4,8,14.254,19,Red / Black
62109,,3200,2,32,13.75,22,Red / Black
