model_no,chipset,memory,memory_type,core_clock,boost_clock
40285,GeForce RTX 3060 12GB,12,,1320,1867
40286,GeForce RTX 4080,16,,2205,
40287,Radeon RX 7600,8,,1875,2755
40288,Arc A580,8,,1700,2000
40289,GeForce RTX 3060 12GB,12,,1320,1792
40290,GeForce GTX 1660 SUPER,6,,1530,1830
40291,GeForce RTX 4070,12,,1920,2565
40292,Arc A380,6,,2000,
40293,GeForce GTX 1080 Ti,11,,1480,1582
40294,GeForce RTX 4070 SUPER,12,,1980,2670
40295,GeForce GTX 1660,6,,1530,1830
40296,Radeon RX 580,8,,1257,1366
40297,GeForce RTX 4070,12,,1920,2490
40298,GeForce RTX 4070 Ti SUPER,16,,2340,2655
40299,GeForce RTX 4060 Ti,8,,2310,2550
40300,GeForce RTX 3060 12GB,12,,1320,1807
40301,GeForce RTX 3060 12GB,12,,1320,1807
40302,GeForce GTX 1660 Ti,6,,1500,1800
40303,GeForce RTX 4070 Ti,12,,2310,2655
40304,Radeon RX 6600,8,,1626,2491
40305,GeForce RTX 3070 Ti,8,,1575,1830
40306,GeForce RTX 4060 Ti,16,,2310,2625
40307,GeForce RTX 4070 Ti,12,,2310,2760
40308,GeForce RTX 4060 Ti,16,,2310,2685
40309,GeForce RTX 4070 Ti,12,,2310,2640
40310,GeForce RTX 2060 SUPER,8,,1470,1695
40311,GeForce RTX 3090,24,,1395,1710
40312,GeForce RTX 3060 Ti,8,,1410,1785
40313,GeForce RTX 3060 Ti LHR,8,,1410,1665
40314,Arc A770,16,,2100,2300
40315,GeForce RTX 4090,24,,2230,2565
40316,GeForce RTX 4090,24,,2235,2640
40317,GeForce GT 710,1,,954,
40318,GeForce RTX 2060,6,,1365,1755
40319,Radeon RX 6600 XT,8,,1968,2602
40320,GeForce RTX 3070,8,,1500,1830
40321,GeForce RTX 4090,24,,2235,
40322,Radeon RX 5700 XT,8,,1650,1905
40323,GeForce RTX 4060 Ti,8,,2310,2535
40324,GeForce RTX 4070 Ti,12,,2310,2790
40325,GeForce RTX 2080 Ti,11,,1350,1665
40326,Arc A770,16,,2100,
40327,GeForce RTX 3050 8GB,8,,1550,
40328,Radeon RX 7900 XT,20,,2000,2500
40329,GeForce RTX 4080,16,,2205,2610
40330,GeForce RTX 3080 10GB,10,,1440,1800
40331,GeForce RTX 4060 Ti,8,,2310,2655
40332,GeForce RTX 4070 SUPER,12,,1980,2655
40333,GeForce RTX 3050 6GB,6,,1040,1492
40334,GeForce RTX 2070 SUPER,8,,1605,1770
40335,GeForce GTX 1660 Ti,6,,1500,1875
40336,Arc A770,16,,2100,
40337,GeForce RTX 4060 Ti,8,,2310,
40338,GeForce RTX 4060 Ti,8,,2310,
40339,GeForce RTX 4070,12,,1920,2640
40340,Radeon RX 6400,4,,1923,
40341,Radeon RX 7800 XT,16,,1295,2565
40342,GeForce RTX 4090,24,,2235,2640
40343,GeForce GTX 1070,8,,1632,1860
40344,Radeon RX 6650 XT,8,,2055,2635
40345,GeForce GTX 1060 6GB,6,,1594,1809
40346,Radeon RX 580,8,,1257,1340
40347,GeForce GT 1030,2,,1266,1506
40348,Radeon RX 5700 XT,8,,1670,1925
40349,GeForce GT 1030 DDR4,2,,1151,1417
40350,GeForce GTX 1080 Ti,11,,1556,1670
40351,Radeon RX 6650 XT,8,,2055,
40352,GeForce RTX 4070 Ti SUPER,16,,2340,2670
40353,GeForce RTX 4070 Ti,12,,2310,2760
40354,Radeon RX 7900 XT,20,,2000,2560
40355,GeForce RTX 3060 Ti,8,,1410,1710
40356,Radeon RX 6800 XT,16,,1825,2250
40357,GeForce RTX 3060 12GB,12,,1320,1867
40358,GeForce RTX 4080,16,,2205,2655
40359,GeForce RTX 4070 SUPER,12,,1980,2475
40360,Radeon RX 7600,8,,1720,2695
40361,GeForce RTX 4060 Ti,8,,2310,2535
40362,GeForce RTX 4070,12,,1920,2625
