model_no,capacity,price_per_gb,type,cache,form_factor,interface
90202,512,0.107,SSD,512,M.2-2280,M.2 PCIe 4.0 X4
90203,1000,0.06,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90204,500,0.162,SSD,,2.5,SATA 6.0 Gb/s
90205,8000,0.022,HDD,256,3.5,SATA 6.0 Gb/s
90206,1000,0.064,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90207,500,,HDD,32,3.5,SATA 3.0 Gb/s
90208,10000,0.025,HDD,256,3.5,SATA 6.0 Gb/s
90209,250,0.18,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90210,8000,0.016,5640,128,3.5,SATA 6.0 Gb/s
90211,1000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90212,500,,SSD,,2.5,SATA 6.0 Gb/s
90213,500,0.118,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90214,512,0.139,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90215,4000,0.085,SSD,,2.5,SATA 6.0 Gb/s
90216,20000,0.019,HDD,256,3.5,SATA 6.0 Gb/s
90217,1000,0.061,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90218,1000,0.086,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90219,8000,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90220,2000,0.124,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90221,120,0.233,SSD,,2.5,SATA 6.0 Gb/s
90222,8000,0.022,HDD,256,3.5,SATA 6.0 Gb/s
90223,500,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90224,2000,0.052,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90225,1000,0.111,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90226,1600,0.87,SSD,,PCIe,PCIe x4
90227,1000,0.075,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90228,1000,0.09,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90229,4000,0.05,SSD,,2.5,SATA 6.0 Gb/s
90230,1000,0.065,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90231,500,0.1,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90232,1000,0.058,SSD,,2.5,SATA 6.0 Gb/s
90233,12000,0.019,HDD,256,3.5,SATA 6.0 Gb/s
90234,480,0.075,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90235,3000,0.017,HDD,64,3.5,SATA 6.0 Gb/s
90236,2000,0.049,SSD,,2.5,SATA 6.0 Gb/s
90237,20000,0.017,HDD,256,3.5,SATA 6.0 Gb/s
90238,500,0.055,HDD,64,3.5,SATA 6.0 Gb/s
90239,1000,0.08,SSD,,2.5,SATA 6.0 Gb/s
90240,2000,0.105,SSD,2048,M.2-2280,M.2 PCIe 4.0 X4
90241,250,0.2,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90242,4000,0.147,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90243,16000,0.02,HDD,256,3.5,SATA 6.0 Gb/s
90244,1000,0.055,SSD,,M.2-2280,M.2 SATA
90245,1000,0.07,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90246,500,0.04,HDD,16,3.5,SATA 6.0 Gb/s
90247,1000,0.04,HDD,64,3.5,SATA 6.0 Gb/s
90248,4000,0.084,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90249,500,0.074,SSD,,2.5,SATA 6.0 Gb/s
90250,1000,0.075,SSD,,2.5,SATA 6.0 Gb/s
90251,1000,,HDD,32,3.5,SATA 6.0 Gb/s
90252,2000,,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90253,2000,0.05,HDD,64,3.5,SATA 6.0 Gb/s
90254,256,0.078,SSD,,2.5,SATA 6.0 Gb/s
90255,512,0.076,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90256,960,,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90257,1000,0.18,SSD,,M.2-2280,M.2 PCIe 5.0 X4
90258,2000,0.06,SSD,,M.2-2280,M.2 PCIe 4.0 X4
90259,256,0.132,SSD,,2.5,SATA 6.0 Gb/s
90260,500,0.157,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90261,960,0.062,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90262,1020,0.074,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90263,16000,,SSD,,2.5,SATA 6.0 Gb/s
90264,512,0.064,SSD,,2.5,SATA 6.0 Gb/s
90265,500,0.032,HDD,8,2.5,SATA 3.0 Gb/s
90266,1000,0.109,SSD,,M.2-2280,M.2 PCIe 3.0 X4
90267,4000,0.054,SSD,,M.2-2280,M.2 PCIe 4.0 X4
