model_no,core_count,core_clock,boost_clock,graphics,socket
30580,6,4.1,4.8,Intel UHD Graphics 630,
30581,8,2.6,3.3,,
30582,4,3.7,,Intel UHD Graphics 630,
30583,12,3.5,4.4,,
30584,8,3.1,3.8,,
30585,4,2.4,3,Intel HD Graphics 630,
30586,4,3.2,,,
30587,4,2.83,,,
30588,4,3.5,,Radeon HD 8570D,
30589,4,3.5,3.9,Intel HD Graphics P4600,
30590,6,3.7,4.6,Intel UHD Graphics 630,
30591,4,2.8,,,
30592,4,3,,,
30593,4,2.66,,,
30594,8,3.4,4,,
30595,2,3.5,3.9,Radeon R5 (on die),
30596,4,3.6,,Intel UHD Graphics 630,
30597,6,3,4.1,Intel UHD Graphics 630,
30598,8,2.1,4.4,Intel UHD Graphics 630,
30599,4,4.3,4.5,,
30600,2,2.4,,Intel HD Graphics,
30601,8,3.7,5,Intel HD Graphics P630,
30602,4,2.83,,,
30603,2,2.7,,Intel HD Graphics,
30604,4,1.3,,Radeon HD 8280,
30605,2,3.2,,Intel HD Graphics,
30606,16,2.4,3.3,,
30607,4,2.9,3.4,Intel HD Graphics 4000,
30608,2,3.4,,Radeon Vega 3,
30609,2,2.66,,,
30610,4,3.7,,Radeon HD 8670D,
30611,1,1.6,,,
30612,6,2.8,,,
30613,2,1.8,,,
30614,2,3,,,
30615,4,3.4,,,
30616,4,3.1,3.6,Iris Pro Graphics 6200,
30617,4,3.3,3.7,Iris Pro Graphics 6200,
30618,14,3.1,4.4,,
30619,2,3.2,,Radeon Vega 3,
30620,2,3.1,,Intel UHD Graphics 610,
30621,4,3.7,4.1,Intel HD Graphics P630,
30622,4,3.7,3.9,,
30623,2,2.7,,Intel HD Graphics,
30624,2,3.6,,Intel HD Graphics 4600,
30625,2,3.6,,Intel HD Graphics 4400,
30626,6,3.6,4,,
30627,4,3.5,4.1,Intel HD Graphics 630,
30628,4,2.9,3.8,Intel HD Graphics 630,
30629,8,3.6,4,,
30630,4,3.8,4.2,,
30631,4,3.7,4.3,Intel UHD Graphics 630,
30632,4,2.8,,,
30633,6,4,4.9,Intel HD Graphics P630,
30634,4,3.2,3.9,Intel HD Graphics 4600,
30635,4,3.5,,,
30636,2,3.33,,,
30637,2,3.4,,Intel HD Graphics 2000,
30638,4,3.4,,,
30639,4,3.2,,Radeon HD 7560D,
30640,2,2.8,,Intel HD Graphics,
30641,4,3.6,3.8,,
30642,4,2.7,3.5,Intel HD Graphics 530,
30643,6,3.1,4.3,Intel UHD Graphics 630,
30644,4,2.7,3.2,Intel HD Graphics 2500,
30645,2,3.5,,Radeon Vega 3,
30646,4,3,,,
30647,4,3.3,3.7,Iris Pro Graphics 6200,
30648,4,2.8,,Intel HD Graphics 2500,
30649,4,3.4,3.8,Intel HD Graphics P4600,
30650,4,3.1,3.3,Intel HD Graphics 2500,
30651,8,3.2,3.8,,
30652,4,3.3,3.9,Intel HD Graphics 530,
30653,4,2.2,2.8,Intel HD Graphics 530,
30654,6,3.4,3.6,,
30655,4,3.1,3.8,Intel HD Graphics 2500,
30656,2,3.9,,Intel UHD Graphics 630,
30657,4,3.4,,Intel HD Graphics 2500,
30658,4,3.5,3.9,,
30659,8,1.8,2.3,,
30660,4,3.1,3.8,Radeon R7 (on-die),
30661,10,2.5,3.3,,
30662,4,3.8,4.1,,
30663,2,3.4,,Intel HD Graphics 4000,
30664,10,1.7,2.1,,
30665,4,4,4.2,,
30666,24,3,4.2,,
30667,14,3.3,4.4,,
30668,4,2.93,,,
30669,8,1.7,,,
30670,2,2.6,,,
30671,2,1.6,,,
30672,4,2.6,,,
30673,4,3.6,4,Intel HD Graphics P530,
30674,4,3.3,3.7,Intel HD Graphics P530,
30675,4,4,4.2,,
30676,2,3.2,,Intel HD Graphics,
30677,4,3,,,
30678,4,3.4,,,
30679,4,3.4,3.8,,
30680,4,2.8,3.3,Intel HD Graphics 4600,
30681,4,2.5,3.7,Intel HD Graphics 4000,
30682,2,3.9,,Intel HD Graphics 530,
30683,2,3.3,,Intel HD Graphics,
30684,4,3,3.5,Radeon R7 (on-die),
30685,6,3,4.4,Intel UHD Graphics 630,
