model_no,type,psu,side_panel,external_volume,internal_35_bays
15583,ATX Mid Tower,ATX,,,5
15584,ATX Mid Tower,ATX,Acrylic,,8
15585,ATX Mid Tower,ATX,,,8
15586,MicroATX Mini Tower,ATX,,,3
15587,ATX Mid Tower,ATX,Acrylic,,3
15588,ATX Test Bench,ATX,,,6
15589,MicroATX Mid Tower,ATX,Acrylic,,3
15590,ATX Mid Tower,ATX,Acrylic,54.6,8
15591,Mini ITX Tower,SFX,Acrylic,13.4,1
15592,Mini ITX Tower,SFX,Acrylic,13.4,1
15593,Mini ITX Tower,SFX,Acrylic,13.4,1
15594,Mini ITX Tower,SFX,Acrylic,13.4,1
15595,Mini ITX Tower,SFX,,13.4,1
15596,Mini ITX Tower,SFX,,13.4,1
15597,Mini ITX Tower,SFX,,13.4,1
15598,Mini ITX Tower,SFX,Acrylic,13.4,1
15599,Mini ITX Tower,SFX,,13.4,1
15600,Mini ITX Tower,SFX,Acrylic,13.4,1
15601,ATX Mid Tower,ATX,Acrylic,,6
15602,ATX Mid Tower,ATX,Acrylic,34.3,7
15603,MicroATX Mini Tower,ATX,,,2
15604,Mini ITX Tower,SFX,,,2
15605,Mini ITX Tower,SFX,,,2
15606,ATX Full Tower,ATX,Acrylic,,6
15607,ATX Full Tower,ATX,Acrylic,,6
15608,MicroATX Mini Tower,ATX,Acrylic,,3
15609,MicroATX Mid Tower,ATX,Acrylic,46.2,4
15610,MicroATX Mid Tower,ATX,Acrylic,46.2,4
15611,MicroATX Mid Tower,ATX,Acrylic,46.2,4
15612,MicroATX Mid Tower,ATX,Acrylic,46.2,4
15613,MicroATX Mid Tower,ATX,Acrylic,46.2,4
15614,MicroATX Mid Tower,ATX,Acrylic,46.2,4
15615,MicroATX Mid Tower,ATX,Acrylic,46.2,4
15616,MicroATX Mid Tower,ATX,Acrylic,46.2,4
15617,MicroATX Mid Tower,ATX,Acrylic,46.2,4
15618,MicroATX Mid Tower,ATX,Acrylic,46.2,4
15619,MicroATX Mid Tower,ATX,Acrylic,46.2,4
15620,MicroATX Mid Tower,ATX,Acrylic,46.2,4
15621,MicroATX Mid Tower,ATX,Acrylic,46.2,4
15622,ATX Mid Tower,ATX,,,3
15623,ATX Mid Tower,ATX,Acrylic,,5
15624,Mini ITX Desktop,SFX,,,1
15625,ATX Mid Tower,ATX,,,3
15626,ATX Mid Tower,ATX,Acrylic,,3
15627,MicroATX Mini Tower,ATX,Acrylic,,1
15628,Mini ITX Desktop,SFX,,,2
15629,Mini ITX Desktop,SFX,Acrylic,,2
15630,MicroATX Mini Tower,ATX,Acrylic,,4
15631,HTPC,,,,1
15632,HTPC,,,,1
15633,HTPC,,Tempered Glass,,5
15634,MicroATX Mini Tower,ATX,,,5
15635,MicroATX Mini Tower,ATX,Acrylic,,2
15636,MicroATX Mini Tower,ATX,Acrylic,,2
15637,MicroATX Mini Tower,ATX,,,2
15638,MicroATX Mini Tower,ATX,Acrylic,,2
15639,HTPC,,Tempered Glass,,6
15640,ATX Mid Tower,ATX,Acrylic,,3
15641,ATX Mid Tower,ATX,Acrylic,,3
15642,ATX Mid Tower,ATX,Acrylic,,3
15643,ATX Mid Tower,ATX,Acrylic,,3
15644,MicroATX Mid Tower,ATX,,,0
15645,MicroATX Mid Tower,ATX,,,0
15646,MicroATX Mid Tower,ATX,,,0
15647,ATX Mid Tower,ATX,,,3
15648,ATX Mid Tower,ATX,,,3
15649,ATX Mid Tower,ATX,Acrylic,,3
15650,ATX Mid Tower,ATX,Acrylic,,3
15651,HTPC,,Tempered Glass,,7
15652,ATX Mid Tower,ATX,Acrylic,,2
15653,ATX Mid Tower,ATX,Acrylic,,2
15654,ATX Mid Tower,ATX,Acrylic,,2
15655,HTPC,,,,0
15656,Mini ITX Desktop,SFX,,,2
15657,Mini ITX Desktop,SFX,,,2
15658,Mini ITX Desktop,SFX,,,2
15659,Mini ITX Desktop,SFX,,,2
15660,Mini ITX Desktop,SFX,,,2
15661,Mini ITX Tower,SFX,,,2
15662,ATX Mid Tower,ATX,,,3
15663,ATX Mid Tower,ATX,Acrylic,45.1,4
15664,ATX Mid Tower,ATX,Acrylic,45.1,4
15665,ATX Mid Tower,ATX,,45.1,4
15666,ATX Mid Tower,ATX,,45.1,4
15667,ATX Mid Tower,ATX,,45.1,4
15668,ATX Mid Tower,ATX,,45.1,4
15669,ATX Mid Tower,ATX,,45.1,4
15670,ATX Mid Tower,ATX,,45.1,4
15671,ATX Mid Tower,ATX,,45.1,4
15672,ATX Mid Tower,ATX,,45.1,4
15673,ATX Mid Tower,ATX,Acrylic,45.1,4
15674,ATX Mid Tower,ATX,Acrylic,45.1,4
15675,ATX Mid Tower,ATX,Acrylic,45.1,4
15676,ATX Mid Tower,ATX,Acrylic,45.1,4
15677,ATX Mid Tower,ATX,Acrylic,45.1,4
15678,ATX Mid Tower,ATX,Acrylic,45.1,4
15679,ATX Mid Tower,ATX,Acrylic,,6
15680,HTPC,,Acrylic,,0
15681,HTPC,,Acrylic,,0
15682,ATX Mid Tower,ATX,,23.7,3
15683,ATX Mid Tower,ATX,Acrylic,,3
15684,MicroATX Mid Tower,ATX,Acrylic,,2
15685,MicroATX Mid Tower,ATX,Acrylic,,2
15686,MicroATX Mini Tower,ATX,,,2
15687,ATX Full Tower,ATX,Acrylic,,8
15688,ATX Mid Tower,ATX,Acrylic,,7
15689,MicroATX Mini Tower,ATX,Acrylic,,3
15690,MicroATX Mini Tower,ATX,,,3
15691,ATX Mid Tower,ATX,Acrylic,,2
15692,ATX Mid Tower,ATX,Acrylic,,3
15693,ATX Mid Tower,ATX,Acrylic,,3
15694,ATX Mid Tower,ATX,Acrylic,,4
15695,ATX Mid Tower,ATX,Acrylic,,4
15696,ATX Mid Tower,ATX,Acrylic,,4
15697,Mini ITX Tower,SFX,,,2
15698,ATX Mid Tower,ATX,Acrylic,,2
15699,ATX Mid Tower,ATX,Acrylic,,4
15700,ATX Mid Tower,ATX,,,4
15701,ATX Mid Tower,ATX,Acrylic,,4
15702,ATX Mid Tower,ATX,Acrylic,,4
15703,ATX Mid Tower,ATX,Acrylic,,4
15704,ATX Mid Tower,ATX,Acrylic,,5
15705,ATX Mid Tower,ATX,Acrylic,,2
15706,Mini ITX Tower,SFX,,,2
15707,Mini ITX Tower,SFX,,,2
15708,MicroATX Mid Tower,ATX,,,4
15709,ATX Mid Tower,ATX,Acrylic,,5
15710,MicroATX Mid Tower,ATX,Acrylic,,4
15711,ATX Full Tower,ATX,,,6
15712,ATX Full Tower,ATX,,,1
15713,MicroATX Mini Tower,ATX,Acrylic,,2
15714,ATX Mid Tower,ATX,,,2
15715,ATX Mid Tower,ATX,,,2
15716,ATX Mid Tower,ATX,,,3
15717,ATX Mid Tower,ATX,,,3
15718,MicroATX Mini Tower,ATX,Acrylic,,2
15719,ATX Mid Tower,ATX,Acrylic,,3
