model_no,type,psu,side_panel,external_volume,internal_35_bays
11144,ATX Mid Tower,ATX,Acrylic,54.2,8
11145,ATX Mid Tower,ATX,Tempered Glass,43.6,2
11146,MicroATX Mid Tower,ATX,,,4
11147,Mini ITX Desktop,SFX,,,0
11148,ATX Full Tower,ATX,Tempered Glass,84.5,1
11149,ATX Mid Tower,ATX,,46,2
11150,MicroATX Mini Tower,ATX,Tempered Glass,31.3,1
11151,ATX Mid Tower,ATX,Tempered Glass,58.6,4
11152,ATX Mid Tower,ATX,Tempered Glass,42.3,2
11153,Mini ITX Desktop,SFX,Tempered Glass,20.3,2
11154,Mini ITX Tower,SFX,,15.3,3
11155,ATX Mid Tower,ATX,Tempered Glass,41.3,3
11156,MicroATX Mini Tower,ATX,,25.3,4
11157,ATX Full Tower,ATX,,,8
11158,ATX Mid Tower,ATX,Tempered Glass,,3
11159,Mini ITX Tower,SFX,,13.9,2
11160,ATX Mid Tower,ATX,Tempered Glass,66.2,2
11161,MicroATX Mid Tower,ATX,Tempered Glass,,2
11162,ATX Mid Tower,ATX,,37.7,2
11163,ATX Mid Tower,ATX,Tempered Glass,129.9,3
11164,MicroATX Mini Tower,ATX,Tempered Glass,53,3
11165,HTPC,,,13.9,1
11166,ATX Mid Tower,ATX,Tempered Glass,55.8,2
11167,ATX Full Tower,ATX,Tempered Glass,110.7,7
11168,MicroATX Mini Tower,ATX,,30.8,2
11169,ATX Full Tower,ATX,Tempered Glass,,4
11170,ATX Mid Tower,ATX,,56,8
11171,ATX Mid Tower,ATX,Tempered Glass,43.1,2
11172,Mini ITX Desktop,SFX,Mesh,16.7,1
11173,ATX Mid Tower,ATX,Tempered Glass,56.4,2
11174,ATX Mid Tower,ATX,Tempered Glass,63,5
11175,Mini ITX Tower,SFX,Tempered Glass,14.7,0
11176,MicroATX Mini Tower,ATX,Tempered Glass,36.9,1
11177,ATX Mid Tower,ATX,Acrylic,61.4,6
11178,ATX Mid Tower,ATX,Tempered Glass,,3
11179,ATX Mid Tower,ATX,Tempered Glass,40,2
11180,ATX Mid Tower,ATX,Tempered Glass,42.3,2
11181,ATX Mid Tower,ATX,Tempered Glass,,2
11182,ATX Mid Tower,ATX,Tempered Glass,37.7,2
11183,ATX Mid Tower,ATX,Acrylic,50.1,2
11184,MicroATX Mid Tower,ATX,Tempered Glass,,2
11185,MicroATX Mini Tower,ATX,Tempered Glass,39.1,2
11186,ATX Mid Tower,ATX,Acrylic,,5
11187,ATX Mid Tower,ATX,Tempered Glass,42.3,2
11188,ATX Full Tower,ATX,Tempered Glass,56,3
11189,ATX Mid Tower,ATX,Tempered Glass,55.2,2
11190,ATX Mid Tower,ATX,Tempered Glass,42.1,2
11191,Mini ITX Desktop,SFX,Tempered Glass,20.3,2
11192,ATX Mid Tower,ATX,Acrylic,,2
11193,ATX Full Tower,ATX,Tempered Glass,86.7,0
11194,ATX Mini Tower,ATX,Mesh,14.9,0
11195,Mini ITX Tower,SFX,Acrylic,13.4,2
11196,ATX Mid Tower,ATX,,44.6,2
11197,ATX Mid Tower,ATX,Tempered Glass,42,2
11198,ATX Mid Tower,ATX,Tinted Tempered Glass,64.9,4
11199,ATX Mid Tower,ATX,Tempered Glass,,2
11200,MicroATX Mini Tower,ATX,Tempered Glass,31.3,1
11201,ATX Mid Tower,ATX,Tempered Glass,49.5,2
11202,ATX Mid Tower,ATX,Tinted Tempered Glass,58.3,3
11203,ATX Mid Tower,ATX,Acrylic,52.2,2
11204,ATX Mid Tower,ATX,Tempered Glass,,2
11205,ATX Mid Tower,ATX,Tempered Glass,39.5,2
11206,Mini ITX Tower,SFX,,10,1
11207,MicroATX Mid Tower,ATX,Tempered Glass,32.3,2
11208,ATX Mid Tower,ATX,Tinted Tempered Glass,41.2,2
11209,ATX Full Tower,ATX,,82,7
11210,ATX Mid Tower,ATX,Tempered Glass,41.6,2
11211,ATX Mid Tower,ATX,Tempered Glass,45.2,2
11212,ATX Mid Tower,ATX,Tempered Glass,36.1,2
11213,ATX Mid Tower,ATX,Tempered Glass,,2
11214,Mini ITX Tower,SFX,Mesh,16.3,0
11215,MicroATX Mini Tower,ATX,,25,2
11216,Mini ITX Desktop,SFX,,38.7,2
11217,ATX Mid Tower,ATX,Tempered Glass,44.8,2
11218,ATX Mid Tower,ATX,Tempered Glass,93.8,7
11219,Mini ITX Tower,SFX,Tempered Glass,27.3,1
11220,ATX Full Tower,ATX,Tempered Glass,57.8,1
11221,ATX Mid Tower,ATX,Tempered Glass,49.7,2
11222,ATX Mid Tower,ATX,Tempered Glass,39.8,2
11223,ATX Mid Tower,ATX,,62.4,6
11224,ATX Mid Tower,ATX,Tempered Glass,64.9,4
11225,ATX Mid Tower,ATX,Acrylic,71.4,2
11226,ATX Mid Tower,ATX,Tempered Glass,,2
11227,Mini ITX Desktop,SFX,,,0
11228,ATX Mid Tower,ATX,Tempered Glass,47.9,1
11229,ATX Full Tower,ATX,,,8
11230,ATX Full Tower,ATX,,74.3,7
11231,MicroATX Mini Tower,ATX,Tempered Glass,22.2,1
11232,ATX Mid Tower,ATX,Tempered Glass,42,2
11233,ATX Mid Tower,ATX,Tempered Glass,70.9,2
11234,HTPC,,Acrylic,,0
11235,ATX Mid Tower,ATX,Tempered Glass,42.5,2
11236,ATX Mid Tower,ATX,Tempered Glass,36.1,2
11237,Mini ITX Desktop,SFX,,28.8,2
11238,ATX Mid Tower,ATX,Acrylic,,4
11239,Mini ITX Desktop,SFX,Tempered Glass,25.9,1
11240,Mini ITX Desktop,SFX,Tempered Glass,22.3,2
11241,MicroATX Mini Tower,ATX,Tempered Glass,36.1,2
11242,MicroATX Mini Tower,ATX,Tempered Glass,28.1,1
11243,MicroATX Mini Tower,ATX,Tempered Glass,30.1,2
11244,ATX Mid Tower,ATX,Tempered Glass,97.2,1
11245,ATX Mid Tower,ATX,,42.6,3
11246,HTPC,,,,1
11247,ATX Full Tower,ATX,Tempered Glass,,7
11248,ATX Full Tower,ATX,Acrylic,,10
11249,ATX Mid Tower,ATX,,37.8,4
11250,MicroATX Mid Tower,ATX,Tempered Glass,69.1,2
11251,ATX Mid Tower,ATX,Tempered Glass,43.1,3
11252,ATX Mid Tower,ATX,Tempered Glass,52.5,2
11253,ATX Mid Tower,ATX,Tempered Glass,47.5,1
11254,Mini ITX Desktop,SFX,Tempered Glass,15.7,1
11255,ATX Mid Tower,ATX,,,4
11256,ATX Mid Tower,ATX,Tempered Glass,40.8,2
11257,ATX Mid Tower,ATX,Tempered Glass,,2
11258,ATX Mid Tower,ATX,Tempered Glass,45.9,2
11259,ATX Mid Tower,ATX,Tempered Glass,114,1
11260,ATX Mid Tower,ATX,Tempered Glass,39.8,2
11261,ATX Mid Tower,ATX,Tempered Glass,30.8,2
11262,Mini ITX Tower,SFX,Tempered Glass,21.8,0
11263,MicroATX Slim,ATX,,5.6,2
11264,ATX Full Tower,ATX,Acrylic,109.9,6
11265,ATX Mid Tower,ATX,Tempered Glass,42.7,2
11266,ATX Mid Tower,ATX,Tempered Glass,49.6,2
11267,ATX Mid Tower,ATX,,,3
11268,Mini ITX Desktop,SFX,Tempered Glass,11.6,0
11269,ATX Mid Tower,ATX,Tempered Glass,40.7,2
11270,ATX Full Tower,ATX,Acrylic,,6
11271,MicroATX Mini Tower,ATX,,28.2,2
11272,ATX Mid Tower,ATX,Tempered Glass,61.7,2
11273,ATX Full Tower,ATX,Acrylic,,7
11274,ATX Mid Tower,ATX,Acrylic,,2
11275,ATX Mid Tower,ATX,Acrylic,,3
11276,MicroATX Mid Tower,ATX,Tempered Glass,,2
11277,ATX Mid Tower,ATX,Tempered Glass,41.3,2
11278,ATX Mid Tower,ATX,Tempered Glass,93.8,7
11279,ATX Mid Tower,ATX,Tempered Glass,53.9,1
11280,Mini ITX Desktop,SFX,,23.8,1
11281,ATX Mid Tower,ATX,Tinted Tempered Glass,42.5,2
11282,ATX Mid Tower,ATX,,36.1,2
11283,ATX Mid Tower,ATX,Tempered Glass,47.7,2
11284,ATX Full Tower,ATX,,82,7
11285,ATX Mid Tower,ATX,Tinted Acrylic,,2
11286,ATX Mid Tower,ATX,Acrylic,36.9,2
11287,ATX Mid Tower,ATX,Tempered Glass,58.3,3
11288,ATX Mid Tower,ATX,Acrylic,38.4,3
11289,ATX Mid Tower,ATX,Acrylic,49.3,2
11290,ATX Mid Tower,ATX,,51,3
11291,ATX Mid Tower,ATX,Tempered Glass,,2
11292,ATX Mid Tower,ATX,Tempered Glass,41.3,2
11293,ATX Mid Tower,ATX,Tempered Glass,55.4,2
11294,ATX Full Tower,ATX,Tempered Glass,65.6,4
11295,ATX Mini Tower,ATX,,39.1,3
11296,ATX Full Tower,ATX,,74.8,6
11297,ATX Mid Tower,ATX,Acrylic,,3
11298,ATX Mid Tower,ATX,Tempered Glass,44.2,4
11299,ATX Mid Tower,ATX,Tempered Glass,35.7,3
11300,Mini ITX Tower,SFX,Tempered Glass,32.7,2
11301,MicroATX Desktop,ATX,,8.6,1
11302,ATX Mid Tower,ATX,Tempered Glass,53.8,4
11303,ATX Mid Tower,ATX,Tempered Glass,50.7,2
11304,ATX Mid Tower,ATX,Tinted Tempered Glass,135.9,3
11305,HTPC,,,11,0
11306,MicroATX Mid Tower,ATX,,43.4,5
11307,ATX Mid Tower,ATX,Acrylic,57.5,6
11308,ATX Mid Tower,ATX,Acrylic,,6
11309,ATX Mid Tower,ATX,Tempered Glass,35.7,3
11310,ATX Mid Tower,ATX,Tempered Glass,,2
11311,ATX Mid Tower,ATX,Tempered Glass,38.8,2
11312,MicroATX Mini Tower,ATX,,8.8,2
11313,ATX Mid Tower,ATX,Tempered Glass,,2
11314,ATX Desktop,ATX,Tempered Glass,126.4,6
11315,ATX Mid Tower,ATX,Acrylic,38.4,3
11316,MicroATX Mid Tower,ATX,Acrylic,,2
11317,ATX Mid Tower,ATX,Acrylic,42.4,2
11318,ATX Mid Tower,ATX,Acrylic,37,3
11319,ATX Mid Tower,ATX,Tempered Glass,32.3,1
11320,ATX Mid Tower,ATX,Tempered Glass,,2
11321,ATX Mid Tower,ATX,Tempered Glass,45,2
11322,ATX Mid Tower,ATX,Acrylic,39.4,2
11323,Mini ITX Tower,SFX,,11.5,1
11324,ATX Mid Tower,ATX,Acrylic,63.5,3
11325,ATX Mid Tower,ATX,Tempered Glass,52.3,2
11326,MicroATX Mini Tower,ATX,Tempered Glass,37.2,2
11327,ATX Mid Tower,ATX,Tempered Glass,35.4,2
11328,MicroATX Desktop,ATX,,12.3,2
11329,ATX Mid Tower,ATX,Tempered Glass,76.4,4
11330,ATX Mid Tower,ATX,Tempered Glass,41.7,3
11331,ATX Mid Tower,ATX,Tempered Glass,41.3,2
11332,ATX Mid Tower,ATX,Acrylic,48.8,2
11333,MicroATX Mini Tower,ATX,Tempered Glass,28.1,1
11334,ATX Full Tower,ATX,Acrylic,92.8,6
11335,MicroATX Mini Tower,ATX,Acrylic,33.6,1
11336,MicroATX Mini Tower,ATX,Tempered Glass,,2
11337,MicroATX Mid Tower,ATX,Tempered Glass,25.7,1
11338,ATX Mid Tower,ATX,Tempered Glass,77.4,2
11339,Mini ITX Tower,SFX,Tempered Glass,45.1,2
11340,MicroATX Mid Tower,ATX,Acrylic,,3
11341,ATX Full Tower,ATX,Tempered Glass,110.7,7
11342,ATX Mini Tower,ATX,Mesh,14.9,0
11343,ATX Mid Tower,ATX,Tempered Glass,,2
11344,HTPC,,,11.6,2
11345,HTPC,,,,0
11346,ATX Mid Tower,ATX,Tempered Glass,,2
11347,ATX Full Tower,ATX,Acrylic,77.9,6
11348,ATX Full Tower,ATX,Acrylic,81.3,6
11349,ATX Mini Tower,ATX,,38.2,7
11350,ATX Full Tower,ATX,Tempered Glass,87.3,4
11351,Mini ITX Tower,SFX,,8.1,2
11352,MicroATX Mid Tower,ATX,Tempered Glass,33.8,2
11353,ATX Mid Tower,ATX,Mesh,54.5,3
11354,MicroATX Mini Tower,ATX,Tempered Glass,,2
11355,ATX Mid Tower,ATX,Tempered Glass,51.6,2
11356,ATX Mid Tower,ATX,Tempered Glass,39.7,2
11357,ATX Mid Tower,ATX,Tempered Glass,45.5,2
11358,Mini ITX Tower,SFX,,10.5,1
11359,ATX Mid Tower,ATX,,36.4,4
11360,ATX Mid Tower,ATX,Acrylic,43.6,2
11361,ATX Mid Tower,ATX,Tempered Glass,58.6,2
11362,ATX Mid Tower,ATX,Tempered Glass,52.9,2
11363,MicroATX Mid Tower,ATX,Mesh,28.8,1
11364,ATX Mid Tower,ATX,Tempered Glass,34.9,2
11365,Mini ITX Desktop,SFX,Tempered Glass,15.7,1
11366,ATX Mid Tower,ATX,,37.8,2
11367,ATX Mid Tower,ATX,,46.3,2
11368,ATX Mid Tower,ATX,Tempered Glass,57.1,3
11369,ATX Mid Tower,ATX,Tempered Glass,42.5,2
11370,MicroATX Mini Tower,ATX,Tempered Glass,35.3,2
11371,ATX Mid Tower,ATX,Tempered Glass,39.8,2
11372,ATX Mid Tower,ATX,Tempered Glass,,2
11373,ATX Mid Tower,ATX,Tempered Glass,,2
11374,Mini ITX Tower,SFX,Mesh,13,0
11375,ATX Mid Tower,ATX,,36.6,2
11376,ATX Mid Tower,ATX,,,2
11377,ATX Mid Tower,ATX,Acrylic,68,5
11378,ATX Mid Tower,ATX,Acrylic,36.1,3
11379,ATX Mid Tower,ATX,Acrylic,,6
11380,ATX Mini Tower,ATX,Acrylic,,5
11381,ATX Mid Tower,ATX,Tempered Glass,,2
11382,HTPC,,Mesh,4.4,0
11383,ATX Mid Tower,ATX,Tempered Glass,42.3,2
11384,ATX Mid Tower,ATX,Tempered Glass,35.4,2
11385,MicroATX Desktop,ATX,,11.9,2
11386,ATX Mid Tower,ATX,Tempered Glass,40,2
11387,Mini ITX Desktop,SFX,,19.1,0
11388,MicroATX Mid Tower,ATX,Mesh,30.7,6
11389,MicroATX Mini Tower,ATX,Tempered Glass,,2
11390,ATX Mid Tower,ATX,Tempered Glass,,3
11391,ATX Mid Tower,ATX,Tempered Glass,35.4,2
11392,ATX Mid Tower,ATX,Tempered Glass,65.2,6
11393,ATX Mid Tower,ATX,,38.4,5
11394,ATX Mid Tower,ATX,Acrylic,42.8,3
11395,ATX Mid Tower,ATX,Tempered Glass,49.6,2
11396,Mini ITX Tower,SFX,,13,1
11397,ATX Mid Tower,ATX,Tempered Glass,53.9,1
11398,ATX Mid Tower,ATX,Tempered Glass,34.2,2
11399,MicroATX Mid Tower,ATX,Acrylic,,2
11400,ATX Mid Tower,ATX,Tempered Glass,48.8,2
11401,ATX Mid Tower,ATX,Tempered Glass,,2
11402,Mini ITX Desktop,SFX,,25.9,1
11403,ATX Mid Tower,ATX,Tempered Glass,41.7,2
11404,ATX Full Tower,ATX,Tempered Glass,72.4,2
11405,ATX Mid Tower,ATX,Acrylic,62.6,2
11406,MicroATX Mini Tower,ATX,,,2
11407,Mini ITX Tower,SFX,Tempered Glass,27.3,1
11408,ATX Mid Tower,ATX,Tempered Glass,33.6,1
11409,MicroATX Mini Tower,ATX,,30.2,4
11410,MicroATX Mini Tower,ATX,Tempered Glass,36.1,2
11411,ATX Mid Tower,ATX,Tempered Glass,37.6,2
11412,ATX Mid Tower,ATX,Tempered Glass,,1
11413,ATX Mid Tower,ATX,Tempered Glass,55.7,6
11414,Mini ITX Tower,SFX,Tempered Glass,45.1,2
11415,ATX Mid Tower,ATX,Tempered Glass,48.8,2
11416,ATX Mid Tower,ATX,Tempered Glass,45.5,2
11417,ATX Mid Tower,ATX,Tempered Glass,48.3,2
11418,ATX Mid Tower,ATX,Tempered Glass,39.5,2
11419,Mini ITX Tower,SFX,Mesh,24,1
11420,ATX Mid Tower,ATX,Tinted Tempered Glass,45.9,2
11421,ATX Mid Tower,ATX,Tempered Glass,,2
11422,Mini ITX Desktop,SFX,Acrylic,,1
11423,ATX Mid Tower,ATX,Tempered Glass,30.8,2
11424,ATX Mid Tower,ATX,Tempered Glass,43.6,2
11425,ATX Mid Tower,ATX,Tempered Glass,52.3,2
11426,MicroATX Mid Tower,ATX,Tempered Glass,28.4,2
11427,ATX Mid Tower,ATX,Tempered Glass,60.8,2
11428,ATX Mid Tower,ATX,Tempered Glass,41.3,2
11429,ATX Mid Tower,ATX,Tempered Glass,31.4,2
11430,ATX Full Tower,ATX,Tempered Glass,60.2,3
11431,ATX Mid Tower,ATX,Tempered Glass,,1
11432,ATX Mid Tower,ATX,Tempered Glass,54.7,2
11433,ATX Mid Tower,ATX,Acrylic,56.4,2
11434,ATX Mid Tower,ATX,Acrylic,51.5,3
11435,MicroATX Mini Tower,ATX,Tempered Glass,36.9,1
11436,ATX Mid Tower,ATX,Tempered Glass,32.3,2
11437,ATX Mid Tower,ATX,Tempered Glass,49.7,1
11438,ATX Mid Tower,ATX,Tempered Glass,37.9,2
11439,ATX Mid Tower,ATX,Tempered Glass,29.9,2
11440,ATX Mid Tower,ATX,Tempered Glass,40.2,2
11441,ATX Mid Tower,ATX,Tempered Glass,36,1
11442,ATX Mid Tower,ATX,,,3
11443,Mini ITX Desktop,SFX,,17.5,0
11444,Mini ITX Desktop,SFX,Mesh,29.5,1
11445,ATX Mid Tower,ATX,Tempered Glass,,2
11446,ATX Mid Tower,ATX,Tempered Glass,41.7,2
11447,ATX Test Bench,ATX,,,2
11448,ATX Mid Tower,ATX,Tempered Glass,51.6,2
11449,ATX Mid Tower,ATX,Acrylic,47.1,6
11450,ATX Mid Tower,ATX,,57.4,6
11451,Mini ITX Tower,SFX,Acrylic,28.1,2
11452,ATX Mid Tower,ATX,Tempered Glass,41.6,2
11453,ATX Mid Tower,ATX,Acrylic,46.7,2
11454,ATX Full Tower,ATX,Tinted Tempered Glass,54,3
11455,ATX Mid Tower,ATX,Tempered Glass,,2
11456,ATX Mid Tower,ATX,Tinted Tempered Glass,,4
11457,ATX Full Tower,ATX,Tempered Glass,,4
11458,ATX Mid Tower,ATX,Tempered Glass,43.4,2
11459,ATX Mid Tower,ATX,Tempered Glass,45,2
11460,Mini ITX Tower,SFX,Mesh,19.9,0
11461,ATX Mid Tower,ATX,Mesh,46.8,2
11462,ATX Mid Tower,ATX,Tempered Glass,,2
11463,MicroATX Mid Tower,ATX,Tempered Glass,69.1,2
11464,ATX Mid Tower,ATX,Tempered Glass,42.5,2
11465,ATX Mid Tower,ATX,Tempered Glass,52.1,3
11466,ATX Mid Tower,ATX,,39.5,7
11467,ATX Mid Tower,ATX,Tempered Glass,,3
11468,ATX Mid Tower,ATX,Tempered Glass,36.9,1
11469,ATX Mid Tower,ATX,Tempered Glass,,2
11470,ATX Mid Tower,ATX,,53.5,6
11471,ATX Mid Tower,ATX,Tempered Glass,57.5,2
11472,ATX Mid Tower,ATX,Tempered Glass,61.1,2
11473,ATX Mid Tower,ATX,Tempered Glass,58.6,2
11474,ATX Mid Tower,ATX,Tempered Glass,,3
11475,ATX Mid Tower,ATX,Tempered Glass,32.3,2
11476,ATX Mid Tower,ATX,Tempered Glass,44,2
11477,ATX Mid Tower,ATX,Tempered Glass,,4
11478,ATX Mid Tower,ATX,Tempered Glass,41,1
11479,ATX Mid Tower,ATX,Tempered Glass,53.4,2
11480,ATX Mid Tower,ATX,Tempered Glass,45.8,1
11481,ATX Mid Tower,ATX,Tempered Glass,42,2
11482,ATX Mid Tower,ATX,Acrylic,,2
11483,ATX Mid Tower,ATX,Tempered Glass,40.2,2
11484,MicroATX Slim,ATX,,,1
11485,ATX Mid Tower,ATX,Tempered Glass,54,3
11486,ATX Mid Tower,ATX,Tempered Glass,50.6,2
11487,ATX Full Tower,ATX,,99.2,4
11488,ATX Mid Tower,ATX,Acrylic,58.5,6
11489,Mini ITX Tower,SFX,,19.5,6
11490,MicroATX Mid Tower,ATX,Acrylic,,0
11491,ATX Mid Tower,ATX,Tempered Glass,48.3,2
11492,ATX Mid Tower,ATX,Tempered Glass,48.3,2
11493,ATX Mid Tower,ATX,Tempered Glass,41.3,3
11494,Mini ITX Desktop,SFX,Tempered Glass,25.9,1
11495,Mini ITX Desktop,SFX,,38.7,2
11496,HTPC,,,33.4,5
11497,ATX Mid Tower,ATX,Tempered Glass,40.6,2
11498,ATX Mid Tower,ATX,Tempered Glass,,2
11499,ATX Mid Tower,ATX,Tempered Glass,30.8,2
11500,ATX Mid Tower,ATX,,,3
11501,ATX Mid Tower,ATX,Tempered Glass,36.5,2
11502,ATX Full Tower,ATX,Acrylic,78.8,6
11503,ATX Mid Tower,ATX,Tempered Glass,101.3,3
11504,ATX Mid Tower,ATX,Tempered Glass,35.8,3
11505,ATX Mid Tower,ATX,,43.9,3
11506,ATX Mid Tower,ATX,Tempered Glass,31.4,2
11507,ATX Mid Tower,ATX,Tinted Tempered Glass,64.9,4
11508,MicroATX Desktop,ATX,,,8
11509,ATX Full Tower,ATX,Acrylic,60.4,6
11510,ATX Mid Tower,ATX,Acrylic,53.3,8
11511,MicroATX Mid Tower,ATX,Acrylic,32.8,3
11512,ATX Mid Tower,ATX,,57.7,3
11513,ATX Mid Tower,ATX,Acrylic,44,3
11514,MicroATX Mid Tower,ATX,Acrylic,35.7,2
11515,ATX Mid Tower,ATX,Tinted Tempered Glass,46.6,2
11516,ATX Mid Tower,ATX,Tempered Glass,35.7,3
11517,Mini ITX Tower,SFX,Tempered Glass,24.4,1
11518,ATX Mid Tower,ATX,Tempered Glass,43.9,2
11519,ATX Mid Tower,ATX,Tempered Glass,77.4,2
11520,ATX Mid Tower,ATX,Tempered Glass,52.4,2
11521,ATX Mid Tower,ATX,Tempered Glass,45.4,0
11522,ATX Mid Tower,ATX,Tempered Glass,33.5,1
11523,ATX Mid Tower,ATX,Tempered Glass,41.9,2
11524,MicroATX Mini Tower,ATX,Mesh,15.9,1
11525,ATX Mid Tower,ATX,Tempered Glass,54.1,2
11526,HTPC,,,,0
11527,ATX Mid Tower,ATX,Tempered Glass,,2
11528,ATX Mid Tower,ATX,Acrylic,,3
11529,Mini ITX Test Bench,SFX,,21.5,4
11530,ATX Full Tower,ATX,Tempered Glass,72.4,2
11531,MicroATX Mini Tower,ATX,,40.5,6
11532,ATX Mid Tower,ATX,Tempered Glass,,2
11533,ATX Full Tower,ATX,Acrylic,84.6,2
11534,ATX Desktop,ATX,Acrylic,,7
11535,ATX Mid Tower,ATX,Tempered Glass,,2
11536,ATX Mid Tower,ATX,Tinted Acrylic,45.9,2
11537,ATX Mid Tower,ATX,Tempered Glass,61.9,2
11538,ATX Mid Tower,ATX,Tempered Glass,49.1,2
11539,ATX Mid Tower,ATX,Tempered Glass,93.8,7
11540,ATX Mid Tower,ATX,Tempered Glass,41.3,2
11541,MicroATX Mini Tower,ATX,Tempered Glass,28.5,2
11542,ATX Mid Tower,ATX,Tempered Glass,41,2
11543,MicroATX Mid Tower,ATX,Tempered Glass,,1
11544,ATX Mid Tower,ATX,,,2
11545,MicroATX Mini Tower,ATX,,,1
11546,ATX Mid Tower,ATX,Tempered Glass,55.2,2
11547,ATX Full Tower,ATX,Tempered Glass,83.6,9
11548,ATX Mid Tower,ATX,Tempered Glass,31.6,3
11549,Mini ITX Desktop,SFX,Tempered Glass,,1
11550,ATX Mid Tower,ATX,Tempered Glass,41.7,2
11551,ATX Mid Tower,ATX,Acrylic,,2
11552,ATX Full Tower,ATX,Acrylic,71.7,5
11553,ATX Mid Tower,ATX,Acrylic,58.5,6
11554,ATX Mid Tower,ATX,Acrylic,45.7,4
11555,ATX Mid Tower,ATX,Acrylic,55.6,8
11556,MicroATX Mid Tower,ATX,,41.4,2
11557,ATX Mid Tower,ATX,Acrylic,38.4,4
11558,HTPC,,Tempered Glass,,7
11559,ATX Mid Tower,ATX,Acrylic,52.2,2
11560,ATX Mid Tower,ATX,Tempered Glass,,2
11561,ATX Mini Tower,ATX,Tempered Glass,15.7,1
11562,ATX Mid Tower,ATX,,53.8,8
11563,MicroATX Mini Tower,ATX,,29.6,2
11564,ATX Mid Tower,ATX,Tempered Glass,66.2,2
11565,ATX Mid Tower,ATX,Tempered Glass,51.2,2
11566,ATX Mid Tower,ATX,Tempered Glass,44.1,2
11567,ATX Mid Tower,ATX,Acrylic,41.4,2
11568,ATX Mid Tower,ATX,Tempered Glass,52.3,2
11569,ATX Mid Tower,ATX,Acrylic,39.5,5
11570,Mini ITX Desktop,SFX,,7.1,0
11571,ATX Mid Tower,ATX,,44.1,2
11572,MicroATX Mini Tower,ATX,Tempered Glass,32.1,2
11573,ATX Mid Tower,ATX,Tempered Glass,,2
11574,ATX Mid Tower,ATX,Tempered Glass,40.7,2
11575,ATX Mid Tower,ATX,Tempered Glass,115.4,6
11576,ATX Mid Tower,ATX,Mesh,33.5,1
11577,ATX Mid Tower,ATX,Tempered Glass,,2
11578,ATX Mid Tower,ATX,,45,8
11579,MicroATX Mini Tower,ATX,Acrylic,,2
11580,Mini ITX Tower,SFX,,14.1,0
11581,MicroATX Mid Tower,ATX,Tempered Glass,25.7,1
11582,ATX Mid Tower,ATX,Tinted Tempered Glass,64.1,6
11583,MicroATX Mini Tower,ATX,Tempered Glass,32.5,2
11584,Mini ITX Desktop,SFX,,17.5,0
11585,ATX Mid Tower,ATX,Tempered Glass,37.6,2
11586,ATX Mid Tower,ATX,,42.8,0
11587,ATX Mid Tower,ATX,Tempered Glass,,2
11588,ATX Mid Tower,ATX,Tempered Glass,42.1,2
11589,MicroATX Mini Tower,ATX,Tinted Tempered Glass,41.7,2
11590,ATX Mid Tower,ATX,,54.2,8
11591,ATX Mid Tower,ATX,Tempered Glass,,2
11592,ATX Mid Tower,ATX,Tinted Tempered Glass,,5
11593,ATX Full Tower,ATX,Tempered Glass,,7
11594,ATX Mid Tower,ATX,Tempered Glass,,2
11595,ATX Mid Tower,ATX,Tempered Glass,,2
11596,Mini ITX Desktop,SFX,Mesh,11.1,0
11597,ATX Mid Tower,ATX,Tempered Glass,33.2,2
11598,ATX Mid Tower,ATX,Tempered Glass,35.7,3
11599,ATX Mid Tower,ATX,,,1
11600,MicroATX Mid Tower,ATX,,,4
11601,Mini ITX Desktop,SFX,,,4
11602,ATX Mid Tower,ATX,Tempered Glass,47.7,2
11603,ATX Mid Tower,ATX,Tempered Glass,37,2
11604,MicroATX Mini Tower,ATX,Tempered Glass,,1
11605,ATX Mid Tower,ATX,Tempered Glass,48.2,2
11606,MicroATX Mini Tower,ATX,Tempered Glass,40.9,1
11607,ATX Mid Tower,ATX,Tempered Glass,58.8,2
11608,ATX Mid Tower,ATX,Tempered Glass,51.9,2
11609,Mini ITX Desktop,SFX,,25.9,1
11610,MicroATX Mini Tower,ATX,Tempered Glass,36.2,2
11611,ATX Mid Tower,ATX,Tempered Glass,,3
11612,ATX Mid Tower,ATX,Tempered Glass,30.9,2
11613,ATX Full Tower,ATX,Tempered Glass,67.8,2
11614,ATX Full Tower,ATX,,74.8,6
11615,ATX Mid Tower,ATX,Acrylic,40.4,5
11616,HTPC,,,25.5,4
11617,MicroATX Mid Tower,ATX,Acrylic,41.4,2
11618,ATX Mid Tower,ATX,Acrylic,53.3,8
11619,ATX Full Tower,ATX,Acrylic,63.2,2
11620,ATX Mid Tower,ATX,Acrylic,44.2,2
11621,ATX Test Bench,ATX,,,4
11622,ATX Mid Tower,ATX,Tempered Glass,,3
11623,ATX Mid Tower,ATX,Tempered Glass,,2
11624,ATX Full Tower,ATX,Tempered Glass,39.5,2
11625,ATX Mid Tower,ATX,Tempered Glass,49.6,3
11626,ATX Mid Tower,ATX,Tinted Tempered Glass,43.5,4
11627,ATX Mid Tower,ATX,Tempered Glass,52.5,2
11628,ATX Full Tower,ATX,Tempered Glass,62.6,3
11629,ATX Mid Tower,ATX,Tempered Glass,93.8,7
11630,Mini ITX Desktop,SFX,Mesh,7.1,0
11631,ATX Mid Tower,ATX,Tempered Glass,41.9,2
