model_no,RPM_low,RMP_high,noise_level,water_cooled
20728,500,2000,29.9,true
20729,600,1500,28.9,false
20730,0,0,39.9,true
20731,650,2000,30,true
20732,130,2500,39,true
20733,600,2000,36,false
20734,500,2000,32.2,true
20735,600,1800,31,false
20736,330,1600,25,false
20737,2000,2000,34,true
20738,800,2200,33.8,false
20739,300,1800,30.4,false
20740,0,0,32.1,true
20741,500,2000,31.6,false
20742,300,0800,14.5,false
20743,800,2000,0,true
20744,250,1800,0,true
20745,500,2000,32.2,true
20746,500,1800,23.46,true
20747,700,1800,35.2,false
20748,1500,1500,25.6,false
20749,500,1800,25.8,true
20750,800,3600,35.8,false
20751,500,2600,34.6,false
20752,650,1800,0,false
20753,500,1800,34.7,true
20754,800,2300,36.9,true
20755,950,2150,36.5,true
20756,800,1900,32,true
20757,0,0,36,true
20758,500,2000,32,true
20759,600,2200,35.6,true
20760,500,1650,27.8,false
20761,1700,1700,30.32,true
20762,250,2000,30.2,true
20763,400,1500,28.8,false
20764,500,1800,30,true
20765,1550,1550,25.6,true
20766,500,2000,32.6,true
20767,1800,1800,28,false
20768,900,1600,26.1,false
20769,500,1800,38,true
20770,500,1800,25.8,true
20771,600,1800,26,true
20772,500,2400,39.9,true
20773,600,2500,30,false
20774,500,2000,29.85,true
20775,500,1800,34.7,true
20776,800,2300,36.9,true
20777,800,1800,0,false
20778,500,1500,30.5,true
20779,800,1800,35,false
20780,120,3000,39.7,true
20781,800,2000,0,true
20782,500,2000,29.85,false
20783,500,2250,0,true
20784,0,0,0,true
20785,900,2000,33.5,true
20786,600,3300,28.4,false
20787,650,2000,30,false
20788,900,2500,0,false
20789,1700,1700,30.32,true
20790,2000,2000,28.2,true
20791,800,2200,23,false
20792,800,2000,31,true
20793,200,1800,0,false
20794,1500,1500,25.6,false
20795,2200,2200,24.7,false
20796,800,2200,0,false
20797,450,2600,36.4,true
20798,120,1600,22.4,false
20799,500,1800,30,true
20800,200,2200,28.9,true
20801,800,2500,29.6,false
20802,500,2100,31.6,false
20803,650,1800,28,false
20804,500,2400,39.9,true
20805,1500,1500,28.2,true
20806,500,1800,25.8,true
20807,500,2000,23.6,false
20808,500,2000,34.3,true
20809,600,3300,28.4,false
20810,600,2200,0,false
20811,0,0,36.1,true
20812,500,2250,32.9,true
20813,300,0800,14.5,false
20814,800,2000,37,true
20815,500,1500,25.8,true
20816,600,1500,27,false
20817,2000,2000,27.7,false
20818,300,1850,29.4,false
20819,140,1700,26.1,false
20820,1850,1850,29.6,false
20821,500,1500,27,false
20822,800,2000,24.5,false
20823,800,2000,28,false
20824,400,1750,30.8,true
20825,800,1600,35,true
20826,1100,1100,29.4,true
20827,650,1800,27,true
20828,120,3000,39.7,true
20829,800,1600,35,true
20830,2435,2435,37.7,true
20831,0,0,30.2,true
20832,500,1800,30,true
20833,500,2250,32.9,true
20834,900,1600,21,false
20835,500,1800,34.7,true
20836,200,1800,0,false
20837,800,1950,26,false
20838,800,2500,37.6,true
20839,300,1500,26.33,false
20840,300,1800,33.9,true
20841,900,1500,30,false
20842,2000,2000,34,true
20843,1400,1400,24.4,false
20844,1900,1900,31,true
20845,700,1600,32.5,false
20846,800,1900,0,true
20847,800,2200,33.8,false
20848,500,1800,25.6,false
20849,550,1700,29,true
20850,150,7000,47.5,false
20851,400,1600,20.2,false
20852,500,2000,33.2,true
20853,600,1200,20.5,false
20854,800,2000,37,true
20855,500,1800,33.28,true
20856,500,1800,33.28,true
20857,300,2500,23.2,false
20858,500,2250,32.9,true
20859,500,2500,28.1,true
20860,215,1500,27,true
20861,600,1500,32,false
20862,100,2700,0,false
20863,700,1800,35.2,true
20864,500,1500,25.8,true
20865,2435,2435,37.7,true
20866,1500,1500,25.6,false
20867,1500,1500,28.2,true
20868,2700,2700,22.4,false
20869,1500,1500,25.6,false
20870,700,1800,35.2,true
20871,500,1850,28,false
20872,450,2000,29.7,true
20873,200,1800,0,false
20874,0,0,0,true
20875,600,1500,32,false
20876,800,2150,29,true
20877,800,2500,37.6,true
20878,550,2500,32,false
20879,750,1800,29.6,true
20880,650,1800,31,false
20881,0,0,39.9,true
20882,250,2000,30.2,true
20883,800,1600,26,false
20884,2200,2200,36.4,true
20885,650,1800,27,false
20886,300,1800,0,false
20887,650,1750,27.2,true
20888,500,1400,24.7,true
20889,300,1400,23.9,false
20890,500,1500,23.9,true
20891,500,1500,27.6,false
20892,1500,1500,25.6,false
20893,500,2000,34.7,true
20894,1800,1800,28,false
20895,500,1850,36,false
20896,700,1800,32.5,false
20897,800,3000,33,false
20898,600,1500,28.9,false
20899,190,2300,22,false
20900,600,2000,34.3,false
20901,700,1800,32.5,false
20902,500,2000,29.9,false
20903,500,2000,32.6,true
20904,300,2000,0,false
20905,0,0,0,false
20906,300,1600,31,false
20907,200,1800,0,false
20908,600,1800,26,true
20909,800,2500,37.6,true
20910,800,2800,34.8,false
20911,2000,2000,22.1,true
20912,500,1600,24,false
20913,750,750,20.5,false
20914,0,0,0,false
20915,550,1700,29,true
20916,500,1800,30,true
20917,400,1600,22.8,false
20918,650,2000,30,false
20919,2800,2800,35,false
20920,0,0,30.5,false
20921,500,2000,32.7,true
20922,100,2200,28.87,false
20923,600,1800,32,true
20924,500,1800,30,true
20925,2700,2700,37.68,true
20926,1600,1600,36,false
20927,500,2200,34.2,true
20928,500,1700,34.1,true
20929,500,1800,23.46,true
20930,0,0,32,true
20931,200,2100,0,false
20932,700,1800,29.7,false
20933,500,1800,23.46,true
20934,600,2000,34,true
20935,500,1700,32.7,true
20936,800,2400,37.5,true
20937,2200,2200,30,true
20938,800,2500,37,true
20939,800,1600,0,false
20940,700,1500,26.4,true
20941,600,1500,32,false
20942,800,2500,37,true
20943,800,2800,35,false
20944,700,2200,36,true
20945,0,0,0,false
20946,500,1500,30.5,true
20947,600,2800,28,false
20948,600,2200,35.6,true
20949,200,1400,28.43,false
20950,500,1350,0,true
20951,700,1500,26.4,true
20952,500,2000,31.2,false
20953,700,1800,35.2,true
20954,300,1200,23,false
20955,100,7000,59.14,false
20956,600,2000,34.5,false
20957,300,1850,29.4,false
20958,500,1800,33.6,false
20959,900,2500,0,false
20960,800,2500,29.6,false
20961,0,0,34.3,true
20962,500,1600,27,true
20963,900,1800,30,true
20964,100,3000,33,false
20965,500,1500,30.8,false
20966,600,2000,24.4,false
20967,0,0,0,false
20968,500,2000,32.2,true
20969,500,1650,27.8,false
20970,300,1500,28.6,false
20971,300,2200,34.4,false
20972,500,1850,38,false
20973,1850,1850,29.6,false
20974,500,1800,32.1,true
20975,500,2000,31.2,false
20976,500,1500,30.5,false
20977,500,2000,32.2,true
20978,0,0,39.9,true
20979,500,2200,34.2,true
20980,500,1800,35.2,true
20981,600,2400,30,false
20982,1800,1800,23,false
20983,500,2000,32.2,true
20984,400,1800,24.7,false
20985,500,2000,34,true
20986,500,1650,27.8,false
20987,500,1800,25.6,false
20988,500,1500,38.5,false
20989,500,1800,38,true
20990,500,1800,17.8,true
20991,500,1800,23.46,true
20992,2700,2700,22.4,false
20993,500,1200,29.2,false
20994,500,1800,30,true
20995,500,1800,30,true
20996,300,1500,22.4,false
20997,300,1300,20,false
20998,200,1800,0,false
20999,600,1500,32,false
21000,2150,2150,27,true
21001,500,1500,25.8,true
