model_no,socket,RAM_slots,storage_slots,has_wifi
70977,AM4,4,,false
70978,AM4,4,,false
70979,LGA1700,4,,false
70980,AM3,4,,false
70981,LGA1200,4,,false
70982,LGA1200,2,,false
70983,LGA1200,2,,false
70984,AM4,2,,false
70985,AM4,4,,false
70986,LGA1700,4,,false
70987,LGA1151,4,,false
70988,LGA1700,2,,false
70989,LGA1151,4,,false
70990,LGA1151,4,,false
70991,AM4,4,,false
70992,LGA1700,4,,false
70993,LGA1700,4,,false
70994,LGA1155,2,,false
70995,AM4,4,,false
70996,LGA1200,4,,false
70997,LGA1700,2,,false
70998,AM4,4,,false
70999,LGA1200,4,,true
71000,LGA1151,4,,false
71001,LGA1700,4,,false
71002,LGA1700,4,,false
71003,LGA1200,4,,false
71004,LGA1700,4,,false
71005,LGA2011-3,8,,false
71006,LGA775,4,,false
71007,AM4,2,,false
71008,LGA1700,2,,false
71009,LGA1200,4,,false
71010,LGA1151,4,,false
71011,LGA1151,4,,false
71012,LGA1200,2,,false
71013,LGA1151,2,,false
71014,LGA1200,2,,false
71015,LGA1700,4,,false
71016,LGA1700,4,,false
71017,LGA1700,4,,false
71018,LGA2011-3,8,,false
71019,sTR4,8,,false
71020,LGA1700,4,,true
71021,AM4,2,,false
71022,LGA1150,4,,false
71023,LGA1151,2,,false
71024,AM4,4,,false
71025,LGA1151,4,,false
71026,LGA2066,8,,false
71027,LGA1150,4,,false
71028,LGA1151,4,,false
71029,FM2+,4,,false
71030,LGA1151,4,,false
71031,AM4,4,,false
71032,LGA1151,4,,false
71033,LGA1200,4,,false
71034,LGA1151,2,,false
71035,AM4,4,,false
71036,LGA1151,4,,false
71037,LGA1151,2,,false
71038,LGA1200,4,,false
71039,LGA1151,2,,false
71040,LGA1700,4,,true
71041,LGA1700,2,,false
71042,LGA1151,4,,false
71043,sTR4,8,,false
71044,LGA1151,4,,false
71045,sTR4,8,,false
71046,LGA1700,4,,false
71047,LGA1151,4,,true
71048,LGA1700,4,,true
71049,LGA1700,4,,false
